Country;Waypoint;Latitude;Longitude;;;;;;;;;;;
Austria;NEGRA;47,722222;9,427222222;;;;;;;;;;;
Austria;NELPA;49,281406;14,95616944;;;;;;;;;;;
Austria;NIDLO;46,804175;15,9956;;;;;;;;;;;
Austria;NIVAS;45,900000;12,28138889;;;;;;;;;;;
Austria;NUBRA;47,866664;17,49999167;;;;;;;;;;;
Austria;OBAGA;47,547089;11,25125278;;;;;;;;;;;
Austria;OBUTI;46,378303;16,27405;;;;;;;;;;;
Austria;OLATI;46,987272;17,47917222;;;;;;;;;;;
Austria;PASAU;48,802500;13,65111111;;;;;;;;;;;
Austria;PIDON;46,122356;18,06933333;;;;;;;;;;;
Austria;PISAM;48,892914;15,38712778;;;;;;;;;;;
Austria;PITAR;47,003122;10,71035556;;;;;;;;;;;
Austria;PODET;46,171389;15,62666667;;;;;;;;;;;
Austria;RADLY;46,646858;15,209175;;;;;;;;;;;
Austria;RATGO;46,546183;16,03702778;;;;;;;;;;;
Austria;REBRO;46,112839;14,37303889;;;;;;;;;;;
Austria;RENKA;48,584842;13,505225;;;;;;;;;;;
Austria;RIPIK;46,947989;11,16405833;;;;;;;;;;;
Austria;RONAG;46,779444;10,25888889;;;;;;;;;;;
Austria;RUGUT;48,774689;15,79406111;;;;;;;;;;;
Austria;SASAL;47,284828;16,47431667;;;;;;;;;;;
Austria;SIRDU;47,254650;17,33182222;;;;;;;;;;;
Austria;SISDU;47,167617;10,62875278;;;;;;;;;;;
Austria;SOGMO;46,610358;17,68422778;;;;;;;;;;;
Austria;STEIN;47,427614;16,59970833;;;;;;;;;;;
Austria;SUBEN;48,436489;13,33678333;;;;;;;;;;;
Austria;SUBES;47,421222;17,42655556;;;;;;;;;;;
Austria;SUNIS;47,141878;16,34961111;;;;;;;;;;;
Austria;TEKNO;47,623775;17,40890833;;;;;;;;;;;
Austria;TELSI;46,428542;14,29666667;;;;;;;;;;;
Austria;TIBRO;46,218333;13,47277778;;;;;;;;;;;
Austria;TITIG;48,058889;12,55944444;;;;;;;;;;;
Austria;TIVAP;48,729097;14,39395278;;;;;;;;;;;
Austria;TOBSO;47,016117;11,85759722;;;;;;;;;;;
Austria;TOVKA;48,270156;16,92632222;;;;;;;;;;;
Austria;TRAUN;47,974722;12,5875;;;;;;;;;;;
Austria;TULSI;47,701608;11,78875833;;;;;;;;;;;
Austria;VEBEG;47,408453;9,651911111;;;;;;;;;;;
Austria;VENOG;46,953886;12,27877778;;;;;;;;;;;
Austria;VESAL;46,390000;11,71638889;;;;;;;;;;;
Austria;YESEN;46,481378;14,08540278;;;;;;;;;;;
Belarus;ABKOM;54,293333;29,54472222;;;;;;;;;;;
Belarus;AMIRI;51,919722;25,88638889;;;;;;;;;;;
Belarus;BABOK;54,455000;30,26638889;;;;;;;;;;;
Belarus;BABUN;52,181389;28,78138889;;;;;;;;;;;
Belarus;BADUS;54,388333;25,58833333;;;;;;;;;;;
Belarus;BAGAM;52,786389;29,42305556;;;;;;;;;;;
Belarus;BENIM;55,146389;28,22138889;;;;;;;;;;;
Belarus;BEREG;52,608056;30,04805556;;;;;;;;;;;
Belarus;BERIS;54,073056;28,90805556;;;;;;;;;;;
Belarus;BESAK;53,262500;24,98916667;;;;;;;;;;;
Belarus;BUGOR;53,216667;32,46472222;;;;;;;;;;;
Belarus;BUSIN;53,274722;26,51472222;;;;;;;;;;;
Belarus;DEDOK;54,035000;29,30138889;;;;;;;;;;;
Belarus;DELON;53,349722;28,64805556;;;;;;;;;;;
