Country;Airport;District;Site;Lat;Long;elevation ft;reports;;;;;;;;;
Finland;EFKS;PP;Kuusamo Arpt;65,992;29,236;886;METAR, TAF;;;;;;;;;
Finland;EFKT;LL;Kittilä Arpt;67,701;24,847;623;METAR, TAF;;;;;;;;;
Finland;EFKU;PS;Kuopio Arpt;63,008;27,799;302;METAR, TAF;;;;;;;;;
Finland;EFLP;EK;Lappeenranta Arpt;61,044;28,151;335;METAR, TAF;;;;;;;;;
Finland;EFMA;AH;Mariehamn Arpt;60,125;19,903;20;METAR, TAF;;;;;;;;;
Finland;EFMI;ES;Mikkeli Arpt;61,687;27,201;325;METAR, TAF;;;;;;;;;
Finland;EFOU;PP;Oulu Arpt;64,93;25,355;49;METAR, TAF;;;;;;;;;
Finland;EFPE;LL;Pello;66,772;23,964;259;;;;;;;;;;
Finland;EFPO;EK;Pori Arpt;61,462;21,8;33;METAR, TAF;;;;;;;;;
Finland;EFPU;PP;Pudasjarven Arpt;65,402;26,96;387;;;;;;;;;;
Finland;EFRO;LL;Rovaniemi Arpt;66,562;25,829;659;METAR, TAF;;;;;;;;;
Finland;EFSA;ES;Savonlinna Arpt;61,943;28,945;295;METAR, TAF;;;;;;;;;
Finland;EFSI;EP;Seinajoki/Ilmajoki Arpt;62,693;22,83;295;METAR, TAF;;;;;;;;;
Finland;EFSO;LL;Sodankylan Arpt;67,397;26,617;591;METAR;;;;;;;;;
Finland;EFSU;KA;Suomussalmi;64,9;29,017;722;;;;;;;;;;
Finland;EFTP;PI;Tampere/Pirkkala Arpt;61,419;23,616;364;METAR, TAF;;;;;;;;;
Finland;EFTU;VS;Turku Arpt;60,514;22,263;154;METAR, TAF;;;;;;;;;
Finland;EFUT;KY;Utti Arpt;60,896;26,938;341;METAR, TAF;;;;;;;;;
Finland;EFVA;PO;Vaasa Arpt;63,051;21,762;13;METAR, TAF;;;;;;;;;
Finland;EFVI;KS;Viitasaari Arpt;63,121;25,811;351;;;;;;;;;;
Finland;EFVR;ES;Varkaus Arpt;62,174;27,86;259;METAR, TAF;;;;;;;;;
France;61001;;Nice Bouy;43,4;7,8;0;;;;;;;;;;
France;LFAC;HD;Calais Arpt;50,962;1,955;10;;;;;;;;;;
France;LFAQ;HD;Albert/Picardie Arpt;49,972;2,704;351;METAR, TAF;;;;;;;;;
France;LFAT;HD;Le Touquet Arpt;50,515;1,623;7;METAR, TAF;;;;;;;;;
France;LFBA;NA;Agen/La Garenne Arpt;44,176;0,593;223;METAR, TAF;;;;;;;;;
France;LFBC;NA;Cazaux Pond(AB);44,533;-1,125;72;METAR, TAF;;;;;;;;;
France;LFBD;NA;Bordeaux/Mérignac Arpt;44,831;-0,691;157;METAR, TAF;;;;;;;;;
France;LFBE;NA;Bergerac/Perigord Arpt;44,826;0,516;161;METAR, TAF;;;;;;;;;
France;LFBF;OC;Toulouse/Francazai Arpt;43,546;1,367;522;;;;;;;;;;
France;LFBG;NA;Cognac/Parvaud Arpt;45,665;-0,316;92;METAR, TAF;;;;;;;;;
France;LFBH;NA;La Rochelle–Île de Ré;46,178;-1,193;59;METAR, TAF;;;;;;;;;
France;LFBI;NA;Poitiers/Biard Arpt;46,584;0,309;384;METAR, TAF;;;;;;;;;
France;LFBK;NA;Montlucon/Gueret Arpt;46,226;2,36;1309;;;;;;;;;;
France;LFBL;NA;Limoges/Bellegarde Arpt;45,863;1,179;1319;METAR, TAF;;;;;;;;;
France;LFBM;NA;Mont-de-Marsan Arpt(AB);43,912;-0,507;184;METAR, TAF;;;;;;;;;
France;LFBN;NA;Niort/Souche (A;46,316;-0,4;187;;;;;;;;;;
France;LFBO;OC;Toulouse/Blagnac Arpt;43,621;1,379;492;METAR, TAF;;;;;;;;;
France;LFBP;NA;Pau/Uzein Arpt;43,385;-0,416;597;METAR, TAF;;;;;;;;;
France;LFBS;NA;Biscarosse Arpt;44,368;-1,132;98;;;;;;;;;;
France;LFBT;OC;Tarbes/Ossun Arpt;43,189;0;1178;METAR, TAF;;;;;;;;;
France;LFBU;NA;Angouleme/Champniers;45,728;0,22;407;METAR, TAF;;;;;;;;;
France;LFBV;NA;Brive/La Roche;45,148;1,474;364;;;;;;;;;;
France;LFBX;NA;Perigueux/Bassillac;45,196;0,815;318;;;;;;;;;;
France;LFBY;NA;Dax/Seyresse Arpt;43,69;-1,07;105;METAR, TAF;;;;;;;;;
France;LFBZ;NA;Biarritz/Parme Arpt;43,469;-1,534;230;METAR, TAF;;;;;;;;;
France;LFCG;OC;St Girons/Antichan Arpt;43,009;1,104;1345;;;;;;;;;;
France;LFCI;OC;Albi/Le Sequestre;43,914;2,113;558;;;;;;;;;;
France;LFCK;OC;Castres/Mazamet Arpt;43,556;2,289;732;METAR, TAF;;;;;;;;;
France;LFCR;OC;Rodez/Marcillac Arpt;44,41;2,483;1890;METAR, TAF;;;;;;;;;
France;LFDB;OC;Montauban/Morin-Vedi;44,026;1,378;351;;;;;;;;;;
France;LFDH;OC;Auch/Lamothe Arpt;43,689;0,601;397;;;;;;;;;;
France;LFFS;GE;Suippes Range;49,148;4,575;525;;;;;;;;;;
France;LFGA;GE;Colmar/Houssen Arpt;48,11;7,359;627;;;;;;;;;;
France;LFGJ;BF;Dole/Tavaux Arpt;47,044;5,427;627;METAR, TAF;;;;;;;;;
France;LFHP;AR;Le Puy/Loudes Arpt;45,075;3,764;2720;METAR, TAF;;;;;;;;;
France;LFIG;OC;Cassagnes-Begonhes Arpt;44,178;2,515;1998;;;;;;;;;;
